freelancer_id,category,years_experience,projects_completed,activity_score,hourly_rate,client_satisfaction,response_time,performance_score,profile_type
409,Writer,9,76,86.36,46.41,88.5,52.64,60.12,Standard
410,Developer,3,37,58.83,27.38,77.81,70.52,44.69,Standard
411,Developer,10,40,87.51,59.89,79.48,41.76,68.15,Premium
412,Designer,5,24,62.76,26.38,72.99,67.6,40.06,Standard
413,Developer,10,93,100.0,45.35,93.47,46.6,75.17,Premium
414,Developer,6,34,59.6,40.98,83.49,57.2,48.74,Standard
415,Designer,2,30,43.39,33.56,78.05,56.24,42.42,Standard
416,Designer,14,69,100.0,64.08,93.02,51.14,75.11,Premium
417,Developer,1,10,39.61,33.02,84.78,67.14,33.23,Standard
418,Developer,4,42,43.48,28.35,87.06,60.47,40.07,Standard
419,Designer,12,91,99.63,57.82,86.48,46.32,70.81,Premium
420,Writer,8,27,70.12,42.88,82.06,59.21,52.88,Standard
421,Designer,3,6,53.19,40.66,73.78,62.76,48.46,Standard
422,Writer,13,95,100.0,71.44,79.5,57.86,78.71,Premium
423,Writer,3,17,36.95,40.47,79.6,78.58,41.73,Standard
424,Developer,12,41,100.0,56.69,91.47,44.92,60.24,Standard
425,Developer,7,44,100.0,37.95,66.55,66.2,56.65,Standard
426,Developer,14,164,100.0,63.85,79.66,33.2,71.39,Premium
427,Developer,12,36,100.0,58.07,79.81,48.35,81.81,Premium
428,Designer,11,91,83.91,63.65,100.0,37.06,75.36,Premium
429,Writer,11,50,100.0,49.62,80.56,63.76,68.75,Premium
430,Developer,3,15,46.84,42.84,66.5,78.68,28.13,Standard
431,Developer,12,103,92.76,52.28,84.58,44.1,57.28,Standard
432,Designer,12,60,74.23,48.35,74.23,52.24,55.49,Standard
433,Designer,1,13,49.14,21.07,64.63,66.8,37.98,Standard
434,Designer,12,96,98.46,62.07,92.04,50.71,80.7,Premium
435,Developer,10,71,98.84,47.78,86.53,30.23,62.62,Premium
436,Developer,9,84,74.34,37.26,77.56,65.23,51.01,Standard
437,Writer,9,49,78.59,49.17,79.81,44.55,48.34,Standard
438,Writer,7,58,66.19,39.78,75.8,66.72,63.81,Premium
439,Developer,13,170,100.0,56.14,78.02,46.0,70.32,Premium
440,Developer,10,42,81.9,47.65,79.89,37.29,66.38,Premium
441,Developer,10,101,82.81,58.38,82.52,57.9,75.74,Premium
442,Designer,15,149,100.0,46.79,81.95,38.36,64.84,Premium
443,Developer,2,26,69.36,32.21,64.5,64.96,41.62,Standard
444,Developer,7,32,82.78,34.46,62.0,47.8,51.01,Standard
445,Designer,10,137,99.04,52.58,77.05,55.42,60.3,Standard
446,Developer,1,1,33.54,25.42,82.13,53.97,34.51,Standard
447,Writer,8,77,68.01,34.97,66.97,53.66,51.0,Standard
448,Developer,15,189,100.0,76.68,91.61,58.54,87.75,Premium
449,Developer,15,111,100.0,68.67,79.01,22.42,73.99,Premium
450,Developer,15,160,100.0,55.53,88.27,48.24,63.26,Premium
451,Developer,6,67,50.96,37.26,67.76,52.42,35.83,Standard
452,Developer,14,174,96.59,70.19,81.47,46.13,82.54,Premium
453,Designer,15,74,100.0,65.83,90.52,50.13,78.39,Premium
454,Developer,10,104,92.47,50.96,72.88,69.32,60.21,Standard
455,Designer,8,22,93.05,36.32,72.16,53.99,58.47,Standard
456,Developer,15,213,100.0,67.74,84.41,48.78,83.65,Premium
457,Developer,12,104,76.71,59.33,84.49,34.62,68.92,Premium
458,Developer,10,100,99.11,54.42,70.28,68.62,73.53,Premium
459,Writer,11,110,100.0,42.33,78.49,49.85,73.66,Premium
460,Designer,7,95,87.12,40.2,75.98,73.99,63.98,Premium
461,Writer,6,40,54.13,21.08,69.37,49.55,37.29,Standard
462,Developer,10,130,100.0,43.39,83.19,50.64,65.21,Premium
463,Developer,15,190,100.0,66.98,88.93,49.67,72.89,Premium
464,Designer,14,183,100.0,45.33,81.35,52.4,74.08,Premium
465,Developer,8,67,74.42,35.27,85.99,53.69,57.95,Standard
466,Developer,13,49,100.0,48.75,82.35,47.15,66.93,Premium
467,Designer,2,10,57.99,15.03,71.01,80.63,40.34,Standard
468,Designer,12,47,91.16,43.76,73.63,59.01,56.91,Standard
469,Designer,12,157,87.01,61.4,75.91,49.17,59.11,Standard
470,Developer,4,39,56.43,38.0,71.66,67.43,47.77,Standard
471,Designer,7,104,58.96,37.67,70.77,44.13,44.98,Standard
472,Developer,9,87,84.7,62.12,77.7,37.7,65.12,Premium
473,Designer,15,78,100.0,64.05,70.9,39.88,74.88,Premium
474,Writer,15,43,100.0,66.5,75.75,28.73,71.31,Premium
475,Developer,3,14,34.62,36.01,67.05,74.26,27.83,Standard
476,Writer,14,90,100.0,45.21,87.88,29.44,81.48,Premium
477,Writer,10,80,95.16,53.11,89.35,47.86,78.78,Premium
478,Writer,15,149,100.0,59.74,81.74,56.44,65.69,Premium
479,Designer,13,109,99.96,65.02,86.47,34.71,75.08,Premium
480,Writer,10,72,92.76,62.89,78.94,74.17,70.51,Premium
481,Designer,6,43,56.57,49.17,82.26,41.87,50.78,Standard
482,Writer,10,106,100.0,46.66,81.17,69.81,61.48,Standard
483,Designer,9,113,67.83,47.29,81.46,66.67,50.92,Standard
484,Designer,8,87,78.21,46.67,72.25,46.71,60.55,Standard
485,Developer,15,128,100.0,73.48,76.57,29.71,82.04,Premium
486,Writer,3,37,40.73,19.71,74.54,46.52,36.22,Standard
487,Writer,7,27,63.79,28.97,78.39,48.62,50.92,Standard
488,Developer,5,73,57.52,49.94,79.75,65.85,50.47,Standard
489,Writer,2,2,44.07,30.97,74.88,70.98,37.0,Standard
490,Developer,5,15,80.23,38.62,87.12,57.25,58.11,Standard
491,Developer,9,106,73.08,60.4,88.22,66.44,57.05,Standard
492,Developer,13,191,100.0,67.6,85.22,55.08,79.76,Premium
493,Developer,13,165,100.0,59.08,65.26,48.56,67.54,Premium
494,Developer,11,64,100.0,43.07,79.93,43.41,65.89,Premium
495,Developer,10,119,68.12,58.91,71.44,68.97,41.1,Standard
496,Developer,10,73,87.64,54.61,77.9,52.98,63.84,Premium
497,Developer,8,31,76.23,53.14,71.87,49.34,51.42,Standard
498,Developer,14,148,100.0,62.95,92.15,59.67,77.27,Premium
499,Writer,14,101,100.0,58.88,87.73,42.65,67.69,Premium
500,Designer,11,154,100.0,60.65,71.06,60.71,69.49,Premium
501,Writer,7,59,63.9,44.94,75.54,55.2,47.57,Standard
502,Developer,6,89,46.79,22.75,66.81,50.82,44.04,Standard
503,Designer,5,40,69.2,40.44,53.75,51.35,44.83,Standard
504,Designer,13,172,100.0,56.1,90.31,37.19,82.28,Premium
505,Developer,6,73,42.91,47.41,91.8,61.95,42.56,Standard
506,Developer,15,59,100.0,64.83,88.96,41.36,79.58,Premium
507,Developer,14,102,100.0,58.85,86.08,36.44,69.48,Premium
508,Developer,9,38,88.35,54.46,89.85,49.72,67.96,Premium
509,Writer,9,106,87.17,48.47,74.18,46.15,60.84,Standard
510,Designer,10,77,100.0,43.47,84.28,33.94,57.84,Standard
511,Designer,13,177,100.0,49.64,97.77,52.86,75.38,Premium
512,Designer,3,34,32.84,27.04,66.42,73.79,31.03,Standard
513,Writer,12,77,100.0,53.88,79.64,51.78,73.69,Premium
514,Developer,7,24,80.18,34.3,78.01,47.66,54.68,Standard
515,Developer,5,53,65.16,36.5,87.22,68.27,55.66,Standard
516,Developer,8,81,56.41,43.84,78.84,39.09,49.71,Standard
517,Developer,3,22,42.23,38.93,83.04,67.99,29.44,Standard
518,Designer,3,27,29.35,23.93,62.32,57.65,24.88,Standard
519,Writer,2,23,59.22,33.18,78.59,55.79,47.1,Standard
520,Writer,9,49,84.31,51.54,90.24,51.96,66.23,Premium
521,Designer,6,34,79.29,45.61,79.52,70.99,56.4,Standard
522,Writer,15,208,100.0,63.14,90.68,22.91,81.84,Premium
523,Developer,6,58,75.75,38.27,75.23,57.29,58.62,Standard
524,Developer,10,109,99.13,42.45,80.04,49.54,55.62,Standard
525,Developer,8,50,93.37,40.66,83.43,50.81,58.45,Standard
526,Developer,4,31,55.13,33.59,77.91,81.08,35.46,Standard
527,Developer,7,34,47.45,44.51,73.6,54.99,52.54,Standard
528,Designer,9,121,63.8,50.94,78.27,69.04,40.91,Standard
529,Designer,4,38,42.22,36.7,79.94,67.98,35.11,Standard
530,Designer,2,13,43.02,19.5,57.43,59.24,28.3,Standard
531,Designer,10,105,85.29,49.62,75.36,43.54,63.46,Premium
532,Designer,3,15,49.5,32.28,74.46,59.13,37.69,Standard
533,Designer,14,157,100.0,60.46,62.86,43.93,70.02,Premium
534,Developer,3,23,62.23,27.58,77.22,73.35,49.86,Standard
535,Designer,9,109,86.51,53.66,77.53,55.31,59.9,Standard
536,Developer,9,110,97.09,53.93,77.53,62.1,70.54,Premium
537,Writer,5,59,80.76,40.1,70.41,51.24,56.94,Standard
538,Designer,15,50,100.0,62.08,83.16,43.67,74.68,Premium
539,Writer,6,28,56.13,54.2,74.32,89.32,41.38,Standard
540,Developer,8,89,80.64,46.25,69.55,46.44,57.25,Standard
541,Writer,13,108,100.0,60.75,82.82,46.93,79.7,Premium
542,Designer,7,92,73.86,36.86,76.2,68.48,51.44,Standard
543,Developer,11,39,90.28,38.81,80.79,47.76,61.55,Standard
544,Developer,2,14,56.94,28.75,71.32,66.63,42.01,Standard
545,Designer,13,147,100.0,63.55,93.73,26.49,72.76,Premium
546,Developer,13,149,100.0,60.55,78.29,47.26,76.39,Premium
547,Designer,13,145,100.0,67.43,84.49,45.12,74.33,Premium
548,Writer,6,75,57.62,32.39,74.99,60.97,40.65,Standard
549,Developer,5,65,56.01,32.63,57.62,87.33,38.73,Standard
550,Developer,3,21,75.16,29.26,79.05,78.34,50.22,Standard
551,Developer,14,116,100.0,66.35,78.01,36.25,80.14,Premium
552,Writer,8,95,57.84,36.12,73.39,49.59,40.95,Standard
553,Writer,15,75,100.0,79.05,82.32,31.19,86.09,Premium
554,Developer,7,45,87.18,44.21,69.28,56.01,57.26,Standard
555,Writer,12,84,100.0,62.44,81.64,60.6,65.43,Premium
556,Developer,12,34,100.0,55.23,60.74,60.16,66.77,Premium
557,Designer,5,31,35.81,45.84,70.02,74.89,33.12,Standard
558,Developer,13,164,100.0,66.86,80.26,43.89,74.0,Premium
559,Developer,12,38,100.0,50.39,59.89,52.36,59.13,Standard
560,Designer,3,26,74.64,22.57,66.92,70.51,35.72,Standard
561,Developer,7,67,89.8,50.36,81.87,70.73,64.32,Premium
562,Writer,7,59,93.24,41.05,78.22,71.71,62.09,Standard
563,Developer,1,1,50.26,24.14,75.76,71.46,39.72,Standard
564,Developer,3,30,50.54,35.17,74.6,66.64,42.2,Standard
565,Designer,6,58,68.77,30.0,88.43,60.55,45.68,Standard
566,Designer,10,117,90.42,56.79,67.24,41.33,69.63,Premium
567,Developer,5,25,44.01,39.37,77.41,54.55,48.57,Standard
568,Developer,3,9,63.87,32.57,68.13,64.23,44.6,Standard
569,Writer,2,8,63.65,22.67,73.05,72.27,40.14,Standard
570,Writer,8,107,74.14,38.14,88.79,46.22,64.3,Premium
571,Writer,7,101,47.34,36.63,69.87,57.39,37.93,Standard
572,Writer,7,49,72.95,38.53,92.62,64.52,58.75,Standard
573,Writer,5,26,51.04,39.35,75.88,67.54,37.65,Standard
574,Designer,12,99,89.58,55.0,71.14,56.68,62.31,Standard
575,Developer,8,77,83.59,36.59,75.67,57.02,55.54,Standard
576,Developer,4,39,38.39,44.14,72.89,51.89,48.72,Standard
577,Designer,9,95,97.7,48.25,79.62,81.83,67.54,Premium
578,Developer,2,5,32.71,28.32,70.58,68.19,29.66,Standard
579,Developer,10,95,75.54,26.79,86.43,42.95,53.07,Standard
580,Developer,11,120,100.0,45.32,74.75,36.71,68.18,Premium
581,Writer,5,28,52.73,37.06,80.64,65.2,38.4,Standard
582,Designer,8,57,63.88,40.78,77.66,68.85,56.75,Standard
583,Developer,6,46,83.67,26.73,77.37,61.38,52.8,Standard
584,Designer,11,56,100.0,65.63,78.36,49.82,76.43,Premium
585,Designer,3,38,58.62,14.63,82.13,64.93,39.47,Standard
586,Writer,15,73,100.0,76.51,81.99,43.32,79.74,Premium
587,Writer,10,69,83.39,43.87,79.23,64.87,50.11,Standard
588,Writer,11,64,84.21,42.44,79.6,41.11,65.21,Premium
589,Writer,11,31,85.7,60.37,83.84,56.63,69.83,Premium
590,Writer,2,21,45.8,25.08,73.07,62.9,37.52,Standard
591,Designer,5,16,46.23,44.08,74.07,57.31,34.81,Standard
592,Developer,14,58,100.0,60.47,80.09,47.03,73.31,Premium
593,Writer,10,97,86.06,45.49,88.16,50.7,60.54,Standard
594,Writer,10,39,95.71,55.25,95.61,60.24,71.6,Premium
595,Developer,8,92,89.06,35.39,72.89,53.61,64.23,Premium
596,Designer,10,147,100.0,41.75,54.88,64.15,55.77,Standard
597,Designer,3,11,62.52,21.02,68.51,54.65,35.4,Standard
598,Writer,10,102,100.0,39.45,91.63,59.7,76.81,Premium
599,Developer,13,95,100.0,74.73,87.24,37.81,90.99,Premium
600,Designer,1,7,32.18,23.01,73.28,74.12,22.77,Standard
601,Developer,15,66,100.0,69.37,100.0,43.31,88.96,Premium
602,Writer,11,91,100.0,60.71,76.25,60.62,72.06,Premium
603,Developer,11,43,100.0,22.2,85.25,49.54,56.85,Standard
604,Writer,4,50,50.44,20.61,63.35,68.8,31.58,Standard
605,Designer,14,174,99.84,55.46,86.88,35.66,69.75,Premium
606,Writer,6,89,69.57,24.88,84.96,71.95,48.35,Standard
607,Developer,4,6,68.24,44.21,81.01,68.89,61.83,Standard
608,Writer,9,87,90.48,44.28,91.46,50.0,73.53,Premium
609,Designer,9,29,74.48,60.69,92.82,54.82,62.6,Premium
610,Writer,8,54,61.52,43.84,81.2,50.96,52.24,Standard
611,Developer,4,38,36.46,36.24,78.73,58.49,33.0,Standard
612,Developer,4,11,57.17,38.35,67.68,61.75,37.4,Standard
613,Writer,7,30,78.98,29.63,82.76,51.57,53.55,Standard
614,Writer,10,128,89.74,55.95,82.03,59.22,64.21,Premium
615,Writer,9,39,90.45,54.44,85.3,51.46,62.59,Standard
616,Designer,10,143,79.8,56.85,89.97,42.52,59.95,Standard
617,Designer,5,18,52.86,50.86,69.22,41.44,52.57,Standard
618,Designer,14,194,100.0,57.86,82.98,63.38,63.51,Premium
619,Developer,10,48,90.46,61.95,74.73,44.89,62.49,Standard
620,Developer,7,36,66.28,37.72,72.9,57.37,52.67,Standard
621,Developer,14,140,100.0,52.48,85.26,40.93,72.49,Premium
622,Developer,7,80,74.97,29.49,58.2,57.59,45.31,Standard
623,Developer,5,71,95.35,43.38,71.07,59.99,55.91,Standard
624,Designer,12,155,100.0,54.72,84.95,37.97,72.87,Premium
625,Writer,1,12,55.24,31.66,56.48,82.82,34.66,Standard
626,Designer,1,14,42.44,24.84,78.34,75.25,35.07,Standard
627,Writer,2,25,55.6,22.54,81.6,73.0,44.01,Standard
628,Developer,11,132,100.0,51.97,78.88,59.79,62.24,Standard
629,Designer,6,50,77.82,36.43,69.02,64.21,54.78,Standard
630,Writer,6,55,59.67,32.08,64.08,55.28,43.74,Standard
631,Designer,2,21,52.31,27.43,63.81,51.36,34.18,Standard
632,Developer,12,78,86.31,48.86,84.69,49.45,57.13,Standard
633,Developer,12,138,100.0,49.64,74.24,48.97,73.32,Premium
634,Designer,14,133,100.0,51.02,82.84,42.08,68.18,Premium
635,Developer,1,7,54.49,5.0,78.23,52.74,40.6,Standard
636,Writer,12,114,100.0,45.95,83.7,47.18,63.51,Premium
637,Designer,12,89,96.34,54.37,85.41,42.17,68.95,Premium
638,Developer,1,5,30.42,24.72,74.71,55.38,27.76,Standard
639,Writer,14,108,100.0,72.46,87.21,39.9,79.17,Premium
640,Writer,6,61,59.55,30.65,77.54,59.74,43.75,Standard
641,Writer,9,27,64.06,35.65,73.84,50.57,52.73,Standard
642,Designer,14,184,100.0,71.97,97.33,45.13,85.11,Premium
643,Writer,8,50,64.51,49.61,98.83,54.9,62.38,Standard
644,Writer,2,24,43.2,22.33,74.97,77.77,37.62,Standard
645,Designer,6,79,76.66,32.39,87.51,58.1,46.1,Standard
646,Developer,5,53,71.03,45.97,80.8,88.28,56.97,Standard
647,Developer,7,88,82.82,41.99,82.83,52.28,55.21,Standard
648,Writer,6,48,83.17,28.23,72.68,53.43,47.6,Standard
649,Developer,15,151,100.0,63.58,96.48,26.04,81.1,Premium
650,Designer,3,37,50.2,27.64,74.21,74.33,37.53,Standard
651,Designer,8,68,72.19,39.35,86.08,46.81,64.45,Premium
652,Developer,1,25,47.41,21.55,73.52,70.14,36.87,Standard
653,Developer,3,9,50.29,19.18,84.85,53.26,43.03,Standard
654,Developer,11,74,92.56,46.02,75.39,47.37,74.72,Premium
655,Developer,13,90,98.27,64.27,84.15,53.37,75.91,Premium
656,Designer,7,44,57.89,43.65,78.11,43.63,44.3,Standard
657,Developer,6,18,66.09,39.21,71.57,65.09,42.6,Standard
658,Designer,6,54,77.85,36.79,82.15,49.65,56.53,Standard
659,Developer,3,19,55.09,31.3,69.57,71.83,35.75,Standard
660,Designer,9,85,80.53,48.72,62.87,48.43,58.18,Standard
661,Developer,11,154,85.51,41.48,83.69,60.23,53.51,Standard
662,Developer,14,83,100.0,67.52,85.15,63.75,73.04,Premium
663,Developer,6,53,71.57,35.95,80.45,71.25,52.62,Standard
664,Designer,10,108,93.71,49.17,86.66,52.09,63.11,Premium
665,Designer,15,208,100.0,78.64,91.41,38.15,88.86,Premium
666,Developer,12,123,100.0,58.85,82.79,47.2,74.21,Premium
667,Writer,10,95,100.0,59.24,74.59,37.72,77.57,Premium
668,Designer,12,108,88.81,58.11,85.04,40.92,60.35,Standard
669,Writer,14,60,100.0,59.04,82.73,46.17,79.2,Premium
670,Developer,9,79,97.92,40.56,64.45,63.51,59.14,Standard
671,Writer,11,124,90.39,60.65,84.88,55.86,63.38,Premium
672,Designer,8,99,52.02,48.82,82.96,44.68,48.29,Standard
673,Developer,10,72,89.8,51.33,90.69,42.69,64.34,Premium
674,Developer,2,31,35.85,17.7,85.54,72.96,30.05,Standard
675,Developer,6,70,70.32,36.29,73.05,66.8,55.29,Standard
676,Designer,15,183,100.0,57.47,79.18,39.18,75.07,Premium
677,Designer,7,94,89.05,59.27,72.76,61.87,61.39,Standard
678,Designer,7,63,82.82,33.6,88.55,62.23,59.9,Standard
679,Developer,3,27,42.36,34.16,72.78,80.46,25.18,Standard
680,Developer,9,29,94.11,40.18,87.41,59.65,69.55,Premium
681,Developer,1,14,38.45,23.93,86.26,55.99,34.31,Standard
682,Designer,9,55,80.04,58.4,76.08,56.16,66.05,Premium
683,Writer,6,29,59.06,39.89,84.61,60.26,53.17,Standard
684,Designer,13,167,100.0,64.58,81.56,61.12,74.15,Premium
685,Developer,9,55,95.44,37.89,80.81,75.43,75.56,Premium
686,Developer,2,14,54.67,27.69,65.69,77.26,41.6,Standard
687,Designer,5,21,67.04,32.41,95.36,59.49,53.79,Standard
688,Developer,4,23,55.54,37.95,81.57,53.99,46.86,Standard
689,Designer,6,50,75.24,25.39,72.47,72.54,52.78,Standard
690,Writer,14,35,100.0,49.03,83.98,37.75,66.82,Premium
691,Developer,7,77,69.86,38.29,73.62,75.79,50.42,Standard
692,Designer,6,19,63.4,59.62,73.64,65.67,49.23,Standard
693,Developer,12,39,86.74,54.57,77.42,50.9,63.26,Premium
694,Designer,15,133,100.0,66.89,76.06,44.99,66.81,Premium
695,Developer,2,3,32.09,29.71,59.82,59.54,27.55,Standard
696,Developer,11,108,100.0,52.86,78.11,49.62,71.26,Premium
697,Developer,3,28,66.26,20.48,76.12,70.85,41.9,Standard
698,Designer,1,13,35.25,7.9,73.47,62.86,12.45,Standard
699,Developer,3,32,65.04,34.35,81.03,66.43,39.08,Standard
700,Developer,4,33,80.46,29.82,70.48,64.23,53.79,Standard
701,Developer,13,42,86.49,44.6,95.53,52.53,65.77,Premium
702,Developer,3,33,71.87,37.37,73.8,74.25,41.48,Standard
703,Designer,1,14,39.76,18.4,76.96,72.42,29.38,Standard
704,Developer,10,57,100.0,42.03,87.57,54.76,66.09,Premium
705,Designer,1,1,43.61,22.14,85.17,78.27,38.2,Standard
706,Designer,11,50,82.57,49.48,84.07,70.57,63.0,Premium
707,Writer,2,3,45.07,18.93,80.27,63.74,36.51,Standard
708,Designer,9,92,70.77,45.58,79.67,61.08,52.15,Standard
709,Developer,3,38,75.42,36.93,64.1,54.59,51.26,Standard
710,Developer,4,22,77.44,37.06,80.22,61.52,55.82,Standard
711,Developer,12,42,100.0,56.5,80.71,56.05,70.19,Premium
712,Developer,2,26,44.34,30.19,74.19,65.83,28.45,Standard
713,Developer,14,141,100.0,50.76,89.87,41.83,69.91,Premium
714,Writer,10,30,78.48,46.35,83.17,54.55,64.0,Premium
715,Developer,15,76,100.0,54.71,89.36,60.39,70.24,Premium
716,Developer,15,55,100.0,61.89,84.22,39.6,79.59,Premium
717,Developer,1,1,70.08,38.44,71.12,57.02,49.05,Standard
718,Developer,3,27,64.15,43.23,50.0,77.2,39.95,Standard
719,Designer,5,45,40.88,46.58,80.31,58.11,36.6,Standard
720,Developer,9,107,71.86,42.22,73.68,56.59,50.11,Standard
721,Developer,9,65,99.57,41.48,83.46,45.61,64.44,Premium
722,Writer,5,47,67.67,46.59,77.13,43.24,59.6,Standard
723,Developer,5,12,43.58,32.56,84.1,71.89,29.63,Standard
724,Designer,11,126,94.18,47.04,87.97,60.46,81.1,Premium
725,Writer,12,107,98.04,72.04,82.87,67.7,74.48,Premium
726,Developer,13,51,100.0,60.41,81.25,40.72,65.51,Premium
727,Developer,14,92,100.0,50.88,95.49,37.05,72.47,Premium
728,Writer,4,38,57.17,36.57,77.06,66.5,39.18,Standard
729,Developer,3,25,45.79,32.18,61.71,54.55,29.14,Standard
730,Writer,10,137,99.0,52.3,76.57,60.56,70.39,Premium
731,Developer,4,34,77.09,21.79,70.16,59.6,50.06,Standard
732,Writer,11,116,83.91,78.37,75.91,43.16,65.51,Premium
733,Developer,7,79,65.8,38.24,65.72,51.12,47.08,Standard
734,Writer,12,80,100.0,61.54,81.85,54.09,75.45,Premium
735,Designer,12,61,100.0,53.4,88.65,40.67,68.76,Premium
736,Designer,2,5,39.35,36.11,74.39,68.69,22.11,Standard
737,Writer,8,36,100.0,49.4,80.3,47.27,64.77,Premium
738,Developer,15,63,100.0,68.31,78.81,38.47,75.9,Premium
739,Developer,1,1,44.43,14.03,65.22,47.53,31.73,Standard
740,Developer,12,50,99.11,56.74,68.7,48.65,66.28,Premium
741,Designer,3,38,50.72,44.24,78.15,55.77,40.15,Standard
742,Developer,7,95,65.77,33.87,73.46,44.3,53.07,Standard
743,Designer,6,90,63.0,46.95,62.22,55.18,50.62,Standard
744,Designer,10,75,82.89,57.27,93.88,61.92,60.74,Standard
745,Writer,9,56,62.95,39.95,90.47,63.11,54.78,Standard
746,Designer,9,31,85.36,42.64,91.95,49.27,58.7,Standard
747,Writer,15,197,100.0,57.14,88.21,34.23,70.93,Premium
748,Developer,2,16,45.53,15.63,73.45,49.93,39.58,Standard
749,Designer,5,59,69.57,40.74,78.03,37.47,52.84,Standard
750,Developer,12,128,87.85,52.44,88.36,42.91,64.2,Premium
751,Designer,10,104,95.51,38.89,74.95,56.5,59.92,Standard
752,Designer,10,102,81.52,44.39,71.34,49.45,52.25,Standard
753,Writer,11,130,100.0,63.09,77.46,50.51,70.46,Premium
754,Writer,2,21,39.7,14.83,74.75,75.44,35.4,Standard
755,Developer,11,115,79.47,56.29,72.84,76.58,47.54,Standard
756,Designer,12,79,100.0,48.22,83.26,51.89,70.92,Premium
757,Developer,11,75,91.4,58.62,85.47,58.2,70.18,Premium
758,Designer,3,40,37.08,34.58,56.65,76.07,32.04,Standard
759,Developer,10,60,84.65,52.74,87.35,63.08,63.55,Premium
760,Developer,11,66,92.05,50.59,84.57,49.14,64.9,Premium
761,Writer,4,18,85.18,28.88,82.02,59.04,52.61,Standard
762,Writer,9,101,92.51,41.67,75.44,57.95,56.34,Standard
763,Designer,3,18,65.94,26.62,73.04,63.17,50.79,Standard
764,Designer,3,14,55.71,22.12,79.69,74.0,52.14,Standard
765,Developer,12,35,100.0,40.56,78.26,43.35,67.44,Premium
766,Developer,11,113,100.0,48.92,81.45,58.57,70.53,Premium
767,Designer,11,151,98.13,55.19,82.25,66.02,66.18,Premium
768,Developer,12,149,100.0,50.32,73.84,43.66,65.62,Premium
769,Designer,8,73,60.09,41.72,73.63,57.45,44.71,Standard
770,Writer,5,55,44.15,27.31,83.07,71.15,38.43,Standard
771,Designer,8,89,79.95,49.48,82.67,67.55,60.72,Standard
772,Developer,11,66,100.0,52.82,79.63,54.92,62.89,Premium
773,Developer,13,125,100.0,57.52,90.44,44.86,71.97,Premium
774,Writer,7,59,76.14,44.45,70.38,44.85,58.45,Standard
775,Writer,4,13,54.4,30.08,73.14,60.98,38.69,Standard
776,Developer,15,174,100.0,78.18,83.73,53.65,78.47,Premium
777,Writer,1,9,48.72,19.97,50.0,82.5,34.65,Standard
778,Developer,13,31,100.0,48.54,90.54,40.5,82.06,Premium
779,Developer,4,11,40.55,32.4,81.53,75.02,45.91,Standard
780,Designer,1,9,21.18,13.02,82.5,75.19,18.82,Standard
781,Developer,10,63,84.58,53.4,90.37,57.99,61.33,Standard
782,Developer,9,45,97.76,50.35,64.36,51.02,64.73,Premium
783,Developer,10,30,74.16,43.72,71.23,68.87,57.32,Standard
784,Writer,13,54,91.67,56.28,94.38,50.46,72.21,Premium
785,Developer,2,6,54.9,24.16,82.13,73.7,38.54,Standard
786,Designer,5,60,100.0,43.33,50.0,59.92,58.84,Standard
787,Designer,4,43,53.07,31.68,67.2,80.69,30.11,Standard
788,Designer,14,204,100.0,72.71,90.13,29.03,86.21,Premium
789,Designer,12,149,100.0,55.55,87.87,60.99,76.98,Premium
790,Designer,3,21,49.76,38.04,87.78,70.64,42.57,Standard
791,Designer,9,36,62.96,64.64,81.69,43.87,57.77,Standard
792,Developer,13,46,100.0,69.62,85.91,38.59,78.12,Premium
793,Writer,3,15,49.44,25.83,80.41,73.49,35.61,Standard
794,Designer,13,139,98.6,56.94,82.12,47.22,67.93,Premium
795,Designer,3,38,47.28,36.41,73.21,64.3,41.82,Standard
796,Writer,2,24,66.59,22.18,76.48,70.01,45.85,Standard
797,Developer,12,134,84.68,53.01,86.06,56.23,64.25,Premium
798,Writer,11,66,100.0,35.07,96.41,70.24,71.33,Premium
799,Designer,8,94,82.77,43.06,81.81,46.57,58.38,Standard
800,Developer,13,147,100.0,56.2,80.85,34.6,68.85,Premium
801,Developer,11,128,100.0,53.19,90.39,40.46,68.2,Premium
802,Designer,9,37,68.25,44.06,71.76,41.31,49.93,Standard
803,Designer,9,74,88.93,41.66,72.78,59.48,64.31,Premium
804,Developer,1,9,52.24,10.1,66.61,61.34,34.73,Standard
805,Writer,14,169,100.0,54.98,94.76,24.99,72.33,Premium
806,Developer,13,159,100.0,61.84,83.19,30.83,75.81,Premium
807,Developer,6,28,76.14,37.76,67.24,60.48,50.51,Standard
808,Developer,6,29,67.42,31.37,72.49,48.16,46.21,Standard
809,Designer,5,47,69.22,50.35,72.68,38.8,56.21,Standard
810,Developer,7,104,78.92,47.38,65.15,65.07,41.38,Standard
811,Developer,15,149,100.0,74.82,84.96,49.63,77.17,Premium
812,Developer,4,31,59.33,31.04,66.29,62.64,46.6,Standard
813,Developer,3,31,37.34,19.3,75.12,69.41,29.6,Standard
814,Designer,4,9,67.17,28.1,75.41,60.18,49.66,Standard
815,Developer,11,44,76.94,54.2,91.72,37.71,61.43,Standard
816,Developer,5,13,60.45,20.96,71.31,63.52,38.82,Standard
817,Developer,6,62,48.42,43.57,72.01,67.18,38.86,Standard
818,Designer,8,74,80.84,21.13,80.31,54.64,47.31,Standard
